COMMUNE_PCODE	commune	PROVINCE	REGION	area_km2	road_length_km	road_density_km_per_km2	indice_densite_routiere	Indice_transport	Indice_POI	Indice_accessibilite
MA0010010810101	Azilal	Azilal	Béni Mellal-Khénifra	21.180513555096248	24.736238762630208	1.1678771951532032	16.15	0.24	2.75	8.7
MA0010010810103	Demnate	Azilal	Béni Mellal-Khénifra	18.70183244125412	19.256243190591285	1.0296447287226356	14.23	0.0	1.21	7.36
MA0010010810301	Agoudi N'Lkhair	Azilal	Béni Mellal-Khénifra	380.3489657786869	36.22137756364138	0.0952319601802663	1.32	0.0	0.04	0.67
MA0010010810303	Ait Abbas	Azilal	Béni Mellal-Khénifra	366.3399354184831	107.45938387629086	0.2933324311299454	4.06	0.0	0.04	2.04
MA0010010810305	Ait Bou Oulli	Azilal	Béni Mellal-Khénifra	561.4852206984161	77.74203130893515	0.1384578408176691	1.91	0.0	0.4	1.03
MA0010010810307	Ait M'Hamed	Azilal	Béni Mellal-Khénifra	800.898809964697	109.86541792198577	0.1371776516022399	1.9	0.0	0.11	0.97
MA0010010810309	Tabant	Azilal	Béni Mellal-Khénifra	500.4026182480809	215.1583264710696	0.4299704250636076	5.94	0.24	1.07	3.26
MA0010010810311	Tamda Noumercid	Azilal	Béni Mellal-Khénifra	278.75589574325033	66.23458843736795	0.2376078477578593	3.28	0.0	0.04	1.65
MA0010010810313	Zaouiat Ahansal	Azilal	Béni Mellal-Khénifra	1466.8654629197729	185.42985044804007	0.1264123091963354	1.75	0.0	1.1	1.1
MA0010010810501	Ait Taguella	Azilal	Béni Mellal-Khénifra	151.5232063924501	131.83985426447896	0.870096781894975	12.03	0.24	1.62	6.41
MA0010010810505	Bni Hassane	Azilal	Béni Mellal-Khénifra	177.9966349398628	36.80744607472528	0.2067873141936694	2.86	0.0	0.04	1.44
MA0010010810507	Bzou	Azilal	Béni Mellal-Khénifra	308.94299156663607	98.32038169309652	0.318247652081435	4.4	0.0	0.26	2.25
MA0010010810509	Foum Jemaa	Azilal	Béni Mellal-Khénifra	132.56616167784722	49.82658258769828	0.3758619994503822	5.2	0.0	0.07	2.61
MA0010010810511	Moulay Aissa Ben Driss	Azilal	Béni Mellal-Khénifra	183.48329831361127	184.7255330569593	1.006770287839631	13.92	0.0	0.15	6.99
MA0010010810513	Rfala	Azilal	Béni Mellal-Khénifra	261.95921540782746	112.55570719764287	0.4296688208598127	5.94	0.0	0.07	2.98
MA0010010810515	Tabia	Azilal	Béni Mellal-Khénifra	149.8694443339578	45.3692045189507	0.30272484641935	4.19	0.0	0.07	2.11
MA0010010810517	Tanant	Azilal	Béni Mellal-Khénifra	247.553139687082	28.500641338582493	0.1151293874705388	1.59	0.0	0.18	0.83
MA0010010810519	Taounza	Azilal	Béni Mellal-Khénifra	187.7319293565128	99.79020162616204	0.5315568958792044	7.35	0.0	0.04	3.68
MA0010010810521	Tisqi	Azilal	Béni Mellal-Khénifra	135.414298775612	46.09181710315231	0.3403762934926737	4.71	0.0	0.0	2.36
MA0010010810903	Ait Mazigh	Azilal	Béni Mellal-Khénifra	225.6432572870844	75.82066015032002	0.3360200568894195	4.65	0.0	0.07	2.34
MA0010010810907	Ait Ouqabli	Azilal	Béni Mellal-Khénifra	156.45784222539342	31.108279945794	0.198828511906609	2.75	0.0	0.15	1.4
MA0010010810909	Anergui	Azilal	Béni Mellal-Khénifra	385.6513728773056	9.086397656279582	0.0235611702571856	0.33	0.0	0.33	0.23
MA0010010810911	Bin El Ouidane	Azilal	Béni Mellal-Khénifra	212.6564393747629	46.0374612390887	0.2164875015045146	2.99	0.0	0.33	1.56
MA0010010810913	Isseksi	Azilal	Béni Mellal-Khénifra	98.46993954451808	15.054642969690336	0.1528856729203551	2.11	0.0	0.0	1.06
MA0010010810915	Ouaouizeght	Azilal	Béni Mellal-Khénifra	174.062612537586	59.08415604771897	0.3394419696818046	4.69	0.24	0.4	2.5
MA0010010810917	Tabaroucht	Azilal	Béni Mellal-Khénifra	190.8549417382893	0.571833661064494	0.0029961690059281	0.04	0.0	0.0	0.02
MA0010010810919	Tagleft	Azilal	Béni Mellal-Khénifra	534.3501812728658	75.88417139813147	0.1420120626091473	1.96	0.24	0.22	1.1
MA0010010810921	Tiffert N'Ait Hamza	Azilal	Béni Mellal-Khénifra	254.05927584029047	16.975483020139663	0.0668170172649432	0.92	0.0	0.0	0.46
MA0010010810923	Tilougguite	Azilal	Béni Mellal-Khénifra	685.0047009768593	154.79695035368854	0.2259793985835987	3.12	0.0	0.48	1.66
MA0010010811101	Afourar	Azilal	Béni Mellal-Khénifra	56.96868417260079	21.93965145864246	0.3851177498179672	5.32	0.0	0.22	2.7
MA0010010811103	Bni Ayat	Azilal	Béni Mellal-Khénifra	201.8392049819885	20.688328744616705	0.102499059815772	1.42	0.0	0.07	0.72
MA0010010811105	Ait Ouaarda	Azilal	Béni Mellal-Khénifra	77.84472682103241	41.967171553889344	0.5391138650967747	7.45	0.0	0.04	3.73
MA0010010811125	Timoulilt	Azilal	Béni Mellal-Khénifra	69.94063177438358	12.394165006946508	0.1772097948289622	2.45	0.0	0.11	1.25
MA0010010811305	Ait Oumdis	Azilal	Béni Mellal-Khénifra	472.8054872963607	40.73378149354898	0.086153360288766	1.19	0.0	0.04	0.6
MA0010010811307	Ait Tamlil	Azilal	Béni Mellal-Khénifra	808.7945004344821	51.054203416909296	0.063123826125775	0.87	0.48	1.51	0.88
MA0010010811309	Anzou	Azilal	Béni Mellal-Khénifra	194.25272491341985	83.35513787795203	0.4291066594566647	5.93	0.0	0.11	2.99
MA0010010811317	Sidi Yacoub	Azilal	Béni Mellal-Khénifra	254.75986738058867	62.14357683065022	0.243930009344106	3.37	0.0	0.04	1.69
MA0010010811319	Tidili Fetouaka	Azilal	Béni Mellal-Khénifra	133.72106232322312	20.748581559065787	0.155163152300671	2.15	0.0	0.04	1.08
MA0010010811501	Ait Blal	Azilal	Béni Mellal-Khénifra	113.99380247220536	78.02003139313298	0.6844234484778792	9.46	0.0	0.07	4.74
MA0010010811503	Ait Majden	Azilal	Béni Mellal-Khénifra	245.3922759643017	7.240201627730764	0.0295046027805049	0.41	0.0	0.0	0.2
MA0010010811511	Imlil	Azilal	Béni Mellal-Khénifra	98.71510925100476	17.468747664055517	0.1769612351806997	2.45	0.0	0.15	1.26
MA0010010811513	Ouaoula	Azilal	Béni Mellal-Khénifra	341.0201309681611	62.15622663325478	0.1822655643723799	2.52	0.0	0.04	1.27
MA0010010811515	Sidi Boulkhalf	Azilal	Béni Mellal-Khénifra	243.05411255306527	55.815000301510565	0.2296402217400236	3.17	0.0	0.11	1.61
MA0010010811521	Tifni	Azilal	Béni Mellal-Khénifra	309.43479157386304	102.71890984851468	0.3319565628869996	4.59	0.0	0.33	2.36
MA0010020910101	Béni Mellal	Béni Mellal	Béni Mellal-Khénifra	92.25721159178096	126.44050614771126	1.370521653170966	18.95	2.64	15.06	13.28
MA0010020910103	El Ksiba	Béni Mellal	Béni Mellal-Khénifra	14.61394619237689	24.22505060829628	1.6576666075952065	22.92	0.0	0.4	11.54
MA0010020910107	Kasba Tadla	Béni Mellal	Béni Mellal-Khénifra	24.55245810417562	43.72636203343433	1.7809362243040672	24.62	0.0	2.46	12.8
MA0010020910113	Zaouiat Cheikh	Béni Mellal	Béni Mellal-Khénifra	12.051351719480127	6.644828033841431	0.551376159995443	7.62	0.24	0.66	4.01
MA0010020910301	Foum Oudi	Béni Mellal	Béni Mellal-Khénifra	145.41381024167598	21.245865693960816	0.1461062443701217	2.02	0.0	0.04	1.02
MA0010020910303	Oulad Gnaou	Béni Mellal	Béni Mellal-Khénifra	57.66300700727248	11.46071701852067	0.1987533708929754	2.75	0.0	0.0	1.38
MA0010020910305	Oulad M'Barek	Béni Mellal	Béni Mellal-Khénifra	99.2177828329403	38.35180553610071	0.3865416505091254	5.34	0.72	0.33	2.95
MA0010020910307	Oulad Yaich	Béni Mellal	Béni Mellal-Khénifra	198.11951908985588	158.56157854279877	0.8003329468556005	11.06	0.0	0.15	5.56
MA0010020910309	Sidi Jaber	Béni Mellal	Béni Mellal-Khénifra	112.18581820269948	55.03910341940694	0.4906066051946177	6.78	0.0	0.18	3.43
MA0010020910311	Foum El Anceur	Béni Mellal	Béni Mellal-Khénifra	329.7648914280802	59.346740357542366	0.1799668245474383	2.49	0.0	0.11	1.27
MA0010020910501	Aghbala	Béni Mellal	Béni Mellal-Khénifra	621.7604784654197	117.14646245766198	0.1884109178936455	2.6	0.0	0.29	1.36
MA0010020910505	Boutferda	Béni Mellal	Béni Mellal-Khénifra	856.1084940810813	133.4277512687339	0.155853787447759	2.15	0.0	0.22	1.12
MA0010020910517	Tizi N'Isly	Béni Mellal	Béni Mellal-Khénifra	512.3059957241279	79.89732674290535	0.1559562593640409	2.16	0.24	0.26	1.2
MA0010020910703	Ait Oum El Bekht	Béni Mellal	Béni Mellal-Khénifra	537.8630731890279	103.93057262764086	0.1932286818119511	2.67	0.0	0.04	1.34
MA0010020910707	Dir El Ksiba	Béni Mellal	Béni Mellal-Khénifra	418.815755482459	155.6147080196756	0.3715588680287676	5.14	0.0	0.11	2.59
MA0010020910711	Naour	Béni Mellal	Béni Mellal-Khénifra	360.0239074389934	78.23272828306672	0.2172987034099211	3.0	0.0	0.07	1.51
MA0010020910713	Taghzirt	Béni Mellal	Béni Mellal-Khénifra	238.806967298006	86.19807561141036	0.3609529344420016	4.99	0.0	0.18	2.53
MA0010020910715	Tanougha	Béni Mellal	Béni Mellal-Khénifra	183.99773549576136	29.161018889428544	0.1584857488102092	2.19	0.0	0.0	1.1
MA0010020911101	Guettaya	Béni Mellal	Béni Mellal-Khénifra	334.90955840576146	175.7707675443955	0.5248305494208664	7.26	0.0	0.07	3.64
MA0010020911103	Ouled Youssef	Béni Mellal	Béni Mellal-Khénifra	203.9274881271955	107.9143043011957	0.5291797848943562	7.32	0.0	0.07	3.67
MA0010020911105	Ouled Said L'Oued	Béni Mellal	Béni Mellal-Khénifra	407.50748603131416	157.77231987612123	0.3871642246689856	5.35	0.96	0.88	3.14
MA0010020911107	Semguet	Béni Mellal	Béni Mellal-Khénifra	389.35068386747946	109.82750950317116	0.2820786351579964	3.9	0.0	0.0	1.95
MA0010032550105	Fquih Ben Salah	Fquih Ben Salah	Béni Mellal-Khénifra	18.010631033659987	43.2634552659389	2.402106577225641	33.21	0.0	2.94	17.19
MA0010032550109	Oulad Ayad	Fquih Ben Salah	Béni Mellal-Khénifra	11.319658666131405	18.367808337515523	1.6226468376181953	22.43	0.0	0.15	11.24
MA0010032550111	Souk Sebt Oulad Nemma	Fquih Ben Salah	Béni Mellal-Khénifra	18.792663722547992	32.7818841399144	1.7443979535791796	24.12	0.48	0.73	12.35
MA0010032550505	Ouled Bourahmoune	Fquih Ben Salah	Béni Mellal-Khénifra	87.33206491440306	27.62999561378452	0.3163785906226488	4.37	0.96	0.07	2.49
MA0010032550509	Ouled Zmam	Fquih Ben Salah	Béni Mellal-Khénifra	291.8179028505276	87.90295172556954	0.3012253561790361	4.16	0.0	0.26	2.13
